runtime,votes_imdb,adjusted_budget,year,spring,summer,fall,winter,score_imdb,rating,crime,drama,romance,animation,comedy,family,mystery,sci-fi,thriller,adventure,fantasy,action,biography,horror,history,war,music,sport,short,western,musical,documentary,film-noir,adult,adjusted_gross
115,348307,177927373,2016,0,0,0,1,7.5,3,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,250868883
89,4012,269587,2016,1,0,0,0,5.9,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4298558
161,61798,49603995,2016,0,0,0,1,7.2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7656460
137,159673,9165956,2016,0,0,0,1,7.9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51432194
102,82289,29654562,2016,0,0,0,1,6.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38381752
100,50652,9705129,2016,0,0,0,1,6.8,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15054159
101,60530,0,2016,1,0,0,0,7.9,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5613305
89,6087,0,2016,0,1,0,0,7.0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217895
88,139449,10675642,2016,0,0,1,0,7.2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96207892
91,9161,0,2016,0,1,0,0,5.4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5146042
100,76251,21566954,2016,0,1,0,0,6.2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122130747
109,10848,10783477,2016,0,0,1,0,6.6,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4392638
124,94624,91659556,2016,0,0,0,1,7.1,4,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,43239656
91,49911,37742170,2016,0,0,0,1,5.8,4,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,32732137
94,38556,113226510,2016,0,1,0,0,5.7,2,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69082198
87,40740,75484340,2016,0,0,1,0,6.8,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78373533
108,60239,10783477,2016,0,1,0,0,6.0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,85419562
122,179426,199494327,2016,0,1,0,0,7.1,3,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,171293744
113,62895,183319112,2016,0,1,0,0,6.2,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83077397
117,213536,9705129,2016,0,0,0,1,7.3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,149126177
108,668625,62544167,2016,1,0,0,0,8.0,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,391516469
117,15158,6470086,2016,0,0,0,1,6.8,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5482218
134,92094,43133909,2016,0,0,1,0,7.3,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23278852
95,95310,156360419,2016,0,0,0,1,7.1,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,154773758
123,163614,129401726,2016,0,1,0,0,6.7,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,175160775
106,94361,23723650,2016,1,0,0,0,6.3,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32887540
110,128712,194102589,2016,0,1,0,0,6.3,3,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,136565255
115,1735,0,2016,0,0,1,0,7.7,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6654482
94,18980,970513,2016,1,0,0,0,6.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9809807
124,28449,0,2016,1,0,0,0,7.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3668611
107,58140,43133909,2016,0,0,0,1,5.6,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,28932143
105,39443,43133909,2016,0,0,1,0,5.8,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16072154
114,123020,43133909,2016,0,0,1,0,7.1,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,46406180
108,49969,46368952,2016,0,0,0,1,7.5,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4033908
113,14631,43133909,2016,0,0,0,1,6.3,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1874683
104,9141,0,2016,0,0,1,0,6.0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,66639
106,6795,0,2016,0,1,0,0,6.4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283173
107,19084,21566954,2016,1,0,0,0,6.3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,39769499
133,365473,215669543,2016,0,0,0,1,7.9,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,573872201
89,133200,20488607,2016,0,0,1,0,6.2,4,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105339136
86,87057,18331911,2016,0,1,0,0,6.3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,59442886
92,13521,10783477,2016,0,0,1,0,4.6,3,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4117848
106,127889,21566954,2016,0,1,0,0,7.4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60651748
127,5192,26958693,2016,0,0,0,1,5.7,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3938348
92,13114,28037041,2016,0,0,0,1,5.5,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19175371
106,60644,24801997,2016,1,0,0,0,7.4,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17026452
101,82575,64700863,2016,0,0,1,0,7.8,2,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51785587
111,7236,15096868,2016,1,0,0,0,6.8,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4207912
133,32595,21566954,2016,0,0,1,0,7.2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13528928
100,34580,16175216,2016,1,0,0,0,6.3,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22205178
120,76550,118618249,2016,1,0,0,0,5.7,3,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71369420
111,3366,18331911,2016,0,0,0,1,6.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45461824
92,4556,9165956,2016,0,0,1,0,6.1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21574663
85,6287,16175216,2016,0,0,1,0,3.9,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2613341
88,7227,4097721,2016,0,0,1,0,6.5,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096663
127,121818,26958693,2016,0,0,0,1,7.8,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,182895630
120,28589,0,2016,0,0,1,0,7.2,4,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,3197134
107,106773,53917386,2016,0,1,0,0,6.3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,137425572
107,6298,0,2016,1,0,0,0,6.5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172795
92,9450,4313391,2016,0,1,0,0,4.4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11596092
134,151427,43133909,2016,0,1,0,0,7.4,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110498299
120,3729,16175216,2016,1,0,0,0,5.7,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1788981
117,8538,0,2016,1,0,0,0,6.8,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3885809
81,80019,5283904,2016,0,1,0,0,6.4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72539195
111,22972,0,2016,1,0,0,0,6.6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20198414
97,55856,8626782,2016,0,0,0,1,6.0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38625936
104,59867,9705129,2016,0,0,0,1,7.4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15562318
89,9517,32350431,2016,0,0,1,0,6.8,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27949608
123,435667,188710850,2016,0,0,1,0,6.2,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,350570900
118,121560,0,2016,0,1,0,0,7.9,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6340507
112,116916,48525647,2016,0,0,1,0,6.5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81302064
115,133338,134793464,2016,0,0,0,1,5.9,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58929490
100,62193,26958693,2016,0,0,0,1,7.2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13787811
93,30580,10783477,2016,0,0,0,1,4.8,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28677861
117,47688,86267817,2016,0,0,0,1,6.8,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,29729570
116,391385,50682343,2016,0,0,0,1,8.0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108423699
76,6947,0,2016,0,0,0,1,6.2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29222
147,442645,269586929,2016,0,1,0,0,7.9,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,440056825
107,3985,0,2016,0,1,0,0,6.8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,764519
99,31703,31272084,2016,1,0,0,0,5.4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68244189
120,14778,9165956,2016,0,0,1,0,6.3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17101251
118,133709,12940173,2016,0,0,0,1,8.1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55792530
89,23422,5391739,2016,1,0,0,0,6.1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10963367
112,64684,145576942,2016,0,1,0,0,6.0,3,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,88480156
128,308891,32350431,2016,0,0,0,1,8.2,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,162940284
163,23250,0,2016,0,0,0,1,7.0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715210
115,51631,21566954,2016,1,0,0,0,6.3,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13629557
106,209062,188710850,2016,1,0,0,0,7.5,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,392519779
100,30977,0,2016,0,1,0,0,7.9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280752
90,17862,3235043,2016,0,1,0,0,6.5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268598
92,49423,134793464,2016,0,0,0,1,6.5,2,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,165749661
113,42478,33967953,2016,1,0,0,0,6.3,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15861089
97,69827,3235043,2016,0,1,0,0,7.0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4540333
123,21231,9705129,2016,0,0,0,1,7.0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8359318
98,980,0,2016,0,1,0,0,5.7,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6797430
96,157212,64700863,2016,0,0,1,0,7.5,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,134868984
99,106352,64700863,2016,1,0,0,0,5.9,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67422893
127,50194,30193736,2016,0,1,0,0,7.0,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16646247
103,4640,21566954,2016,0,0,1,0,4.7,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78941893
114,71570,124009987,2016,1,0,0,0,6.1,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52181451
118,8340,6470086,2016,0,1,0,0,5.4,4,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,195020
92,23717,21566954,2016,0,0,0,1,6.3,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54207
117,56297,150968680,2016,0,1,0,0,6.4,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59830797
102,132328,12940173,2016,0,0,1,0,7.6,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29123847
97,56439,38820518,2016,0,0,0,1,6.8,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33446055
112,76535,40977213,2016,0,0,0,1,5.2,3,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37652437
99,9617,23184476,2016,1,0,0,0,5.7,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2458637
97,59472,78719383,2016,0,1,0,0,6.3,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44931639
129,35064,116461553,2016,0,0,0,1,6.4,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11191691
91,3864,0,2016,0,0,1,0,5.4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206785
162,29072,0,2016,0,0,0,1,7.5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1595294
128,188598,47447299,2016,0,0,1,0,7.4,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93018322
141,39409,32350431,2016,1,0,0,0,6.6,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9252666
103,82181,161752157,2016,1,0,0,0,6.0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49108850
133,268073,194102589,2016,0,0,0,1,7.4,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,252373884
112,38907,37742170,2016,1,0,0,0,6.6,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24891860
110,15705,0,2016,0,1,0,0,6.9,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,291132
139,62351,25880345,2016,0,0,0,1,7.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62202228
121,111448,80876079,2016,0,0,1,0,6.2,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37034315
118,36369,0,2016,0,1,0,0,7.4,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321400
116,157351,155282071,2016,0,1,0,0,5.3,3,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,262240231
96,81127,21566954,2016,0,1,0,0,6.6,3,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41606565
105,37358,48525647,2016,0,0,0,1,5.8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59058402
87,35620,21566954,2016,0,1,0,0,6.7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10394328
127,116495,118618249,2016,0,0,1,0,6.7,3,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94078111
92,27297,8626782,2016,0,0,1,0,5.8,4,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4222002
92,83340,37742170,2016,0,1,0,0,5.7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59800597
120,137119,177927373,2016,0,1,0,0,5.3,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111225405
98,29436,32350431,2016,0,1,0,0,6.1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4542533
123,31863,107834771,2016,0,0,1,0,5.7,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80253464
111,35671,31272084,2016,0,0,1,0,6.9,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,29529226
120,32147,21566954,2016,0,0,0,1,6.7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7793260
107,157290,161752157,2016,0,0,0,1,7.6,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268246590
113,6634,0,2016,1,0,0,0,7.5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,949898
90,1959,0,2016,0,1,0,0,4.9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30591
110,8479,0,2016,0,0,1,0,6.8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3667628
105,16843,6470086,2016,1,0,0,0,6.2,4,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1407454
91,22157,10783477,2016,1,0,0,0,6.5,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1940284
94,10504,0,2016,0,0,0,1,5.7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8631
102,41083,70092601,2016,0,0,1,0,6.7,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82205844
151,497351,269586929,2016,1,0,0,0,6.6,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,356243160
111,63612,40977213,2016,0,0,0,1,6.3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65050017
106,54503,0,2016,1,0,0,0,8.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5410336
146,45187,43133909,2016,1,0,0,0,6.4,4,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8742150
127,78473,150968680,2016,1,0,0,0,5.4,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33594267
119,20814,7548434,2016,0,0,0,1,7.4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6108585
118,22504,26958693,2016,1,0,0,0,5.6,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35038600
139,34513,53917386,2016,0,1,0,0,6.9,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22440455
118,2716,0,2016,1,0,0,0,6.3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4113754
96,13615,0,2016,1,0,0,0,5.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3235412
107,5680,0,2016,1,0,0,0,7.0,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1012677
144,82656,53917386,2016,0,0,0,1,7.3,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,56994148
76,36333,3774217,2016,0,1,0,0,6.5,4,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4070763
108,317549,161752157,2016,1,0,0,0,8.0,2,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368005835
104,12252,0,2016,0,1,0,0,6.5,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1467680
132,138262,97051294,2016,0,0,1,0,6.9,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,100752890
99,35690,9705129,2016,0,0,1,0,6.1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37897997
94,22142,19410259,2016,1,0,0,0,6.0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64366149
97,173005,215669543,2016,0,1,0,0,7.4,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524395707
102,11945,1617522,2016,0,0,1,0,5.0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,840917
116,193151,53917386,2016,0,1,0,0,7.4,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39102789
104,208655,16175216,2016,1,0,0,0,7.2,3,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,77730536
108,13857,0,2016,0,0,1,0,6.2,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400200
112,58549,19410259,2016,1,0,0,0,6.7,3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003131
96,4439,0,2016,0,0,1,0,5.7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24824
111,161857,1617522,2016,0,0,0,1,7.5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30037302
110,63520,40977213,2016,1,0,0,0,6.1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50513595
104,9244,134793464,2016,0,0,0,1,5.7,2,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35984642
98,61076,35585475,2016,0,1,0,0,6.0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49614426
109,13373,14018520,2016,1,0,0,0,7.0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66539578
116,152436,24262824,2016,0,0,0,1,7.5,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11498807
98,72997,29115388,2016,0,1,0,0,6.5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44225277
101,51053,53917386,2016,1,0,0,0,4.7,3,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31108922
91,7778,5391739,2016,0,0,0,1,5.2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5175825
108,37491,30193736,2016,1,0,0,0,5.8,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11795112
104,18249,8626782,2016,0,0,1,0,7.7,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739509
144,296415,191945893,2016,0,1,0,0,7.0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,167621053
117,39909,10783477,2016,1,0,0,0,7.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3666682
